Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,num_reviews,num_purchases,review_text,sentiment_score,sentiment
18,70246089,JANINGE,Bar furniture,129.91,No old price,True,https://www.ikea.com/sa/en/p/janinge-bar-stool-white-70246089/,No,"        Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,36.0,84.0,38.0,622,4778,"[""Best purchase! Transformed my bathroom."", ""Assembly was tricky, but worth it. Good quality."", ""Fell apart after a week. Poor quality.""]",0.3008333333333333,positive
19,60406785,FRANKLIN,Bar furniture,67.87,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-60406785/,No,"        Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,44.0,103.0,52.0,273,1581,"[""Overpriced for the quality."", ""Assembly was tricky, but worth it. Good quality."", ""Exactly what I needed. Highly recommend.""]",0.3765666666666666,positive
20,340759,EKEDALEN,Bar furniture,488.53,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-table-white-00340759/,No,"        Bar table,          120x80 cm",Ehlén Johansson,,105.0,80.0,62,4932,"[""Best purchase! Transformed my bedroom."", ""Amazing! Will buy again."", ""Overpriced for the quality.""]",0.4311666666666666,positive
21,30352246,RÅSKOG,Bar furniture,429.04,No old price,True,https://www.ikea.com/sa/en/p/raskog-bar-stool-black-30352246/,No,"        Bar stool,          63 cm",Nike Karlsson,44.0,63.0,44.0,581,3040,"[""Perfect fit! Durable and elegant. 5 stars!"", ""Amazing! Will buy again."", ""Love this item! Super sturdy and stylish.""]",0.7835666666666666,positive
22,10281354,JANINGE,Bar furniture,363.6,No old price,True,https://www.ikea.com/sa/en/p/janinge-bar-stool-grey-10281354/,No,"        Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,36.0,84.0,38.0,629,4543,"[""Fell apart after a week. Poor quality."", ""Best purchase! Transformed my kitchen."", ""Great value. Easy to assemble. Looks perfect in my kitchen.""]",0.371,positive
23,90400517,EKEDALEN,Bar furniture,525.08,SR 995,True,https://www.ikea.com/sa/en/p/ekedalen-bar-table-dark-brown-90400517/,No,"        Bar table,          120x80 cm",Ehlén Johansson,,105.0,80.0,14,1193,"[""Great value. Easy to assemble. Looks perfect in my bathroom."", ""Fell apart after a week. Poor quality."", ""Amazing! Will buy again.""]",0.3557666666666666,positive
24,400545,EKEDALEN,Bar furniture,249.23,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-white-orrsta-light-grey-00400545/,No,"        Bar stool with backrest,          75 cm",Ehlén Johansson,51.0,114.0,43.0,112,983,"[""Perfect fit! Durable and elegant. 5 stars!"", ""Overpriced for the quality."", ""Exactly what I needed. Highly recommend.""]",0.4305333333333334,positive
25,10400540,EKEDALEN,Bar furniture,364.63,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-dark-brown-orrsta-light-grey-10400540/,No,"        Bar stool with backrest,          75 cm",Ehlén Johansson,52.0,114.0,43.0,205,1510,"[""Amazing! Will buy again."", ""Color not as expected. Otherwise fine."", ""Best purchase! Transformed my bedroom.""]",0.4986,positive
26,40400529,EKEDALEN,Bar furniture,516.73,SR 995,True,https://www.ikea.com/sa/en/p/ekedalen-bar-table-brown-40400529/,No,"        Bar table,          120x80 cm",Ehlén Johansson,,105.0,80.0,783,2773,"[""Overpriced for the quality."", ""Great value. Easy to assemble. Looks perfect in my office."", ""Best purchase! Transformed my office.""]",0.5299,positive
27,90319918,HENRIKSDAL,Bar furniture,389.04,No old price,True,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-glose-black-90319918/,No,"        Bar stool with backrest,          74 cm",Karl Malmvall,51.0,102.0,40.0,886,2562,"[""Overpriced for the quality."", ""Best purchase! Transformed my office."", ""Amazing! Will buy again.""]",0.4311666666666666,positive
28,29297227,STENSELE / NORRARYD,Bar furniture,108.9,No old price,True,https://www.ikea.com/sa/en/p/stensele-norraryd-bar-table-and-2-bar-stools-anthracite-anthracite-black-s29297227/,No,        Bar table and 2 bar stools,Nike Karlsson/Maja Ganszyniec,,,,893,335,"[""Love this item! Super sturdy and stylish."", ""Great value. Easy to assemble. Looks perfect in my office."", ""Assembly was tricky, but worth it. Good quality.""]",0.8283333333333333,positive
29,99323925,STENSELE,Bar furniture,515.35,No old price,True,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s99323925/,No,"        Bar table,          70x70 cm",Maja Ganszyniec,,104.0,70.0,359,314,"[""Assembly was tricky, but worth it. Good quality."", ""Great value. Easy to assemble. Looks perfect in my living room."", ""Overpriced for the quality.""]",0.5432333333333333,positive
30,40339004,NORRÅKER,Bar furniture,292.43,No old price,True,https://www.ikea.com/sa/en/p/norraker-bar-table-black-40339004/,Yes,"        Bar table,          74x74 cm",J Karlsson/N Karlsson,,102.0,74.0,56,2417,"[""Great value. Easy to assemble. Looks perfect in my bedroom."", ""Amazing! Will buy again."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.8051666666666667,positive
31,39184324,HENRIKSDAL,Bar furniture,64.68,No old price,True,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-graesbo-white-s39184324/,No,"        Bar stool with backrest,          74 cm",IKEA of Sweden/Karl Malmvall,51.0,102.0,40.0,876,3497,"[""Love this item! Super sturdy and stylish."", ""Exactly what I needed. Highly recommend."", ""Best purchase! Transformed my living room.""]",0.6483333333333333,positive
32,19297275,NORRÅKER / NORRÅKER,Bar furniture,527.41,"SR 1,385",True,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-birch-s19297275/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,,,832,4966,"[""Color not as expected. Otherwise fine."", ""Best purchase! Transformed my bedroom."", ""Fell apart after a week. Poor quality.""]",0.1317333333333333,positive
33,60400745,YNGVAR,Bar furniture,529.8,No old price,True,https://www.ikea.com/sa/en/p/yngvar-bar-stool-anthracite-60400745/,No,"        Bar stool,          75 cm",IKEA of Sweden,40.0,,40.0,945,1812,"[""Perfect fit! Durable and elegant. 5 stars!"", ""Assembly was tricky, but worth it. Good quality."", ""Overpriced for the quality.""]",0.5270333333333334,positive
34,20336619,HENRIKSDAL,Bar furniture,241.43,No old price,True,https://www.ikea.com/sa/en/p/henriksdal-cover-for-bar-stool-with-backrest-graesbo-white-20336619/,No,        Cover for bar stool with backrest,IKEA of Sweden,,,,829,3098,"[""Perfect fit! Durable and elegant. 5 stars!"", ""Exactly what I needed. Highly recommend."", ""Fell apart after a week. Poor quality.""]",0.2716333333333333,positive
35,20429010,NORRÅKER,Bar furniture,291.8,No old price,True,https://www.ikea.com/sa/en/p/norraker-bar-stool-with-backrest-birch-20429010/,Yes,"        Bar stool with backrest,          74 cm",J Karlsson/N Karlsson,48.0,100.0,42.0,665,2431,"[""Exactly what I needed. Highly recommend."", ""Overpriced for the quality."", ""Assembly was tricky, but worth it. Good quality.""]",0.3765666666666666,positive
36,80369112,NORDVIKEN,Bar furniture,398.29,No old price,False,https://www.ikea.com/sa/en/p/nordviken-bar-stool-with-backrest-black-80369112/,No,"        Bar stool with backrest,          75 cm",Francis Cayouette,47.0,101.0,40.0,278,2319,"[""Exactly what I needed. Highly recommend."", ""Perfect fit! Durable and elegant. 5 stars!"", ""Assembly was tricky, but worth it. Good quality.""]",0.6670666666666666,positive
37,89280380,NORRÅKER / NORRARYD,Bar furniture,560.36,No old price,True,https://www.ikea.com/sa/en/p/norraker-norraryd-bar-table-and-2-bar-stools-black-black-s89280380/,No,"        Bar table and 2 bar stools,          74 cm",Nike Karlsson/J Karlsson/N Karlsson,,104.0,74.0,379,90,"[""Color not as expected. Otherwise fine."", ""Amazing! Will buy again."", ""Exactly what I needed. Highly recommend.""]",0.4154333333333333,positive
38,29304223,EKEDALEN / EKEDALEN,Bar furniture,474.23,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-white-orrsta-light-grey-s29304223/,No,"        Bar table and 4 bar stools,          120 cm",Ehlén Johansson,,,,645,117,"[""Amazing! Will buy again."", ""Color not as expected. Otherwise fine."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.5659000000000001,positive
39,49304217,EKEDALEN / EKEDALEN,Bar furniture,190.49,"SR 2,375",True,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-brown-orrsta-light-grey-s49304217/,No,"        Bar table and 4 bar stools,          120 cm",Ehlén Johansson,,,,115,1037,"[""Amazing! Will buy again."", ""Best purchase! Transformed my bedroom."", ""Color not as expected. Otherwise fine.""]",0.4985999999999999,positive
40,272656,BERNHARD,Bar furniture,173.83,No old price,True,https://www.ikea.com/sa/en/p/bernhard-bar-stool-with-backrest-chrome-plated-mjuk-kavat-white-00272656/,No,"        Bar stool with backrest,          66 cm",Ola Wihlborg,50.0,90.0,48.0,679,4058,"[""Color not as expected. Otherwise fine."", ""Amazing! Will buy again."", ""Exactly what I needed. Highly recommend.""]",0.4154333333333333,positive
41,79241940,NORRÅKER / NORRÅKER,Bar furniture,357.42,No old price,True,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-black-black-s79241940/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,104.0,74.0,668,3248,"[""Overpriced for the quality."", ""Amazing! Will buy again."", ""Great value. Easy to assemble. Looks perfect in my kitchen.""]",0.5146666666666667,positive
42,89297272,NORRÅKER / NORRARYD,Bar furniture,185.99,"SR 1,385",True,https://www.ikea.com/sa/en/p/norraker-norraryd-bar-table-and-2-bar-stools-birch-black-s89297272/,No,"        Bar table and 2 bar stools,          74 cm",Nike Karlsson/J Karlsson/N Karlsson,,,,666,4840,"[""Overpriced for the quality."", ""Best purchase! Transformed my kitchen."", ""Color not as expected. Otherwise fine.""]",0.2906333333333333,positive
43,9288224,STENSELE,Bar furniture,157.47,No old price,True,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s09288224/,No,"        Bar table,          70 cm",Maja Ganszyniec,,105.0,,129,2574,"[""Love this item! Super sturdy and stylish."", ""Overpriced for the quality."", ""Color not as expected. Otherwise fine.""]",0.3525333333333333,positive
44,30135658,GLENN,Bar furniture,461.45,No old price,True,https://www.ikea.com/sa/en/p/glenn-bar-stool-white-chrome-plated-30135658/,Yes,"        Bar stool,          77 cm",Marcus Arvonen,52.0,100.0,50.0,840,1135,"[""Exactly what I needed. Highly recommend."", ""Love this item! Super sturdy and stylish."", ""Amazing! Will buy again.""]",0.6330999999999999,positive
45,49297274,NORRÅKER / NORRÅKER,Bar furniture,270.9,"SR 1,385",True,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-black-s49297274/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,,,796,2529,"[""Assembly was tricky, but worth it. Good quality."", ""Best purchase! Transformed my living room."", ""Exactly what I needed. Highly recommend.""]",0.5997666666666667,positive
46,30308395,RÅSKOG,Bar furniture,464.63,No old price,True,https://www.ikea.com/sa/en/p/raskog-bar-stool-beige-30308395/,No,"        Bar stool,          63 cm",Nike Karlsson,44.0,63.0,44.0,613,1743,"[""Exactly what I needed. Highly recommend."", ""Color not as expected. Otherwise fine."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.4979666666666666,positive
47,29123958,MINNEN,Beds,439.03,SR 445,True,https://www.ikea.com/sa/en/p/minnen-ext-bed-frame-with-slatted-bed-base-white-s29123958/,No,"        Ext bed frame with slatted bed base,          80x200 cm",IKEA of Sweden/Tina Christensen,,,85.0,67,2365,"[""Love this item! Super sturdy and stylish."", ""Color not as expected. Otherwise fine."", ""Amazing! Will buy again.""]",0.5604999999999999,positive
48,49278341,BRIMNES,Beds,258.62,SR 925,True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/,No,"        Bed frame w storage and headboard,          90x200 cm",IKEA of Sweden/K Hagberg/M Hagberg,54.0,110.0,96.0,960,828,"[""Exactly what I needed. Highly recommend."", ""Best purchase! Transformed my bedroom."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.6537333333333333,positive
49,50461230,SMÅGÖRA,Beds,75.87,No old price,True,https://www.ikea.com/sa/en/p/smagoera-cot-white-50461230/,No,"        Cot,          60x120 cm",IKEA of Sweden,,79.0,66.0,355,4639,"[""Color not as expected. Otherwise fine."", ""Best purchase! Transformed my bedroom."", ""Overpriced for the quality.""]",0.2906333333333333,positive
50,89326463,PLATSA,Beds,591.37,"SR 2,205",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-drawers-white-fonnes-s89326463/,No,"        Bed frame with 4 drawers,          140x244x163 cm",Ola Wihlborg/IKEA of Sweden,40.0,43.0,140.0,750,1635,"[""Assembly was tricky, but worth it. Good quality."", ""Perfect fit! Durable and elegant. 5 stars!"", ""Best purchase! Transformed my kitchen.""]",0.7502333333333334,positive
51,50468953,VATTVIKEN,Beds,104.07,No old price,True,https://www.ikea.com/sa/en/p/vattviken-armchair-bed-lerhaga-light-grey-50468953/,No,        Armchair-bed,"504.689.53 Small and easy-to-place chair-bed which can easily be converted into a single bed.The storage space under the seat has room for bedlinen or other things.Just as nice to look at from all sides – perfect to place in the middle of the room or use as a room divider.The cushion cover is easy to keep clean and fresh, as you can take it off and machine-wash it.Easy to assemble.1 cushion included.",83.0,86.0,92.0,483,1542,"[""Fell apart after a week. Poor quality."", ""Color not as expected. Otherwise fine."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.1990333333333333,positive
52,69326609,SLÄKT,Beds,517.05,No old price,False,https://www.ikea.com/sa/en/p/slaekt-ext-bed-frame-with-slatted-bed-base-white-birch-s69326609/,No,"        Ext bed frame with slatted bed base,          80x200 cm",IKEA of Sweden/Ebba Strandmark,,,91.0,126,710,"[""Amazing! Will buy again."", ""Color not as expected. Otherwise fine."", ""Best purchase! Transformed my living room.""]",0.4986,positive
53,59099136,BRIMNES,Beds,318.47,No old price,True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-s59099136/,Yes,"        Bed frame w storage and headboard,          140x200 cm",K Hagberg/M Hagberg/IKEA of Sweden,,111.0,146.0,839,1398,"[""Amazing! Will buy again."", ""Great value. Easy to assemble. Looks perfect in my bedroom."", ""Perfect fit! Durable and elegant. 5 stars!""]",0.8051666666666667,positive
54,40395245,NEIDEN,Beds,367.05,No old price,True,https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-40395245/,No,"        Bed frame,          90x200 cm",Jon Karlsson,,,94.0,800,1349,"[""Overpriced for the quality."", ""Fell apart after a week. Poor quality."", ""Best purchase! Transformed my kitchen.""]",0.0642999999999999,positive
55,69277307,LEIRVIK,Beds,597.64,No old price,True,https://www.ikea.com/sa/en/p/leirvik-bed-frame-white-loenset-s69277307/,Yes,"        Bed frame,          180x200 cm",IKEA of Sweden/Carina Bengs,,,188.0,136,3990,"[""Overpriced for the quality."", ""Love this item! Super sturdy and stylish."", ""Color not as expected. Otherwise fine.""]",0.3525333333333333,positive
56,70395239,NEIDEN,Beds,574.44,No old price,True,https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-70395239/,No,"        Bed frame,          140x200 cm",Jon Karlsson,,,144.0,402,2036,"[""Great value. Easy to assemble. Looks perfect in my office."", ""Amazing! Will buy again."", ""Best purchase! Transformed my office.""]",0.7378666666666667,positive
57,89931560,HEMNES,Beds,339.21,SR 895,True,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden/Carina Bengs,,,154.0,917,2094,"[""Exactly what I needed. Highly recommend."", ""Overpriced for the quality."", ""Best purchase! Transformed my living room.""]",0.3632333333333333,positive
58,30446373,SLATTUM,Beds,54.0,No old price,True,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-30446373/,Yes,"        Upholstered bed frame,          140x200 cm",David Wahl,,,144.0,650,3566,"[""Assembly was tricky, but worth it. Good quality."", ""Amazing! Will buy again."", ""Love this item! Super sturdy and stylish.""]",0.7295999999999999,positive
59,59248612,NEIDEN,Beds,200.8,No old price,True,https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-birch-luroey-s59248612/,No,"        Bed frame,          90x200 cm",Jon Karlsson/IKEA of Sweden,,,94.0,67,1108,"[""Fell apart after a week. Poor quality."", ""Best purchase! Transformed my office."", ""Assembly was tricky, but worth it. Good quality.""]",0.3008333333333333,positive
60,19254209,SAGSTUA,Beds,292.06,No old price,True,https://www.ikea.com/sa/en/p/sagstua-bed-frame-white-s19254209/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden/Paulin Machado,,140.0,148.0,643,1026,"[""Amazing! Will buy again."", ""Color not as expected. Otherwise fine."", ""Overpriced for the quality.""]",0.2754,positive
61,20400691,BRIMNES,Beds,227.18,No old price,True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-20400691/,No,"        Bed frame with storage,          90x200 cm",K Hagberg/M Hagberg,54.0,47.0,96.0,522,4627,"[""Perfect fit! Durable and elegant. 5 stars!"", ""Love this item! Super sturdy and stylish."", ""Fell apart after a week. Poor quality.""]",0.4166999999999999,positive
62,39019701,ASKVOLL,Beds,409.03,No old price,True,https://www.ikea.com/sa/en/p/askvoll-bed-frame-white-s39019701/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden/K Hagberg/M Hagberg,,,147.0,760,777,"[""Amazing! Will buy again."", ""Great value. Easy to assemble. Looks perfect in my living room."", ""Fell apart after a week. Poor quality.""]",0.3557666666666666,positive
63,69912770,TRYSIL,Beds,353.68,No old price,True,https://www.ikea.com/sa/en/p/trysil-bed-frame-white-light-grey-s69912770/,Yes,"        Bed frame,          160x200 cm",K Hagberg/M Hagberg/IKEA of Sweden,,,165.0,811,2577,"[""Fell apart after a week. Poor quality."", ""Perfect fit! Durable and elegant. 5 stars!"", ""Overpriced for the quality.""]",0.1316,positive
64,29931596,MALM,Beds,516.16,No old price,True,https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-s29931596/,Yes,"        Bed frame, high,          140x200 cm",IKEA of Sweden/Eva Lilja Löwenhielm,,,156.0,105,3186,"[""Best purchase! Transformed my bathroom."", ""Fell apart after a week. Poor quality."", ""Overpriced for the quality.""]",0.0642999999999999,positive
65,29179554,RAMSTA,Beds,181.12,No old price,True,https://www.ikea.com/sa/en/p/ramsta-day-bed-frame-with-slatted-bed-base-white-s29179554/,No,"        Day-bed frame with slatted bed base,          90x200 cm",IKEA of Sweden,,80.0,97.0,647,392,"[""Perfect fit! Durable and elegant. 5 stars!"", ""Overpriced for the quality."", ""Great value. Easy to assemble. Looks perfect in my office.""]",0.5972000000000001,positive
66,9241043,SONGESAND,Beds,145.35,No old price,True,https://www.ikea.com/sa/en/p/songesand-bed-frame-brown-s09241043/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden,,,153.0,127,1497,"[""Exactly what I needed. Highly recommend."", ""Overpriced for the quality."", ""Color not as expected. Otherwise fine.""]",0.2074666666666666,positive
67,19175957,MALM,Beds,206.98,No old price,True,https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-2-storage-boxes-white-s19175957/,Yes,"        Bed frame, high, w 2 storage boxes,          180x200 cm",IKEA of Sweden/Eva Lilja Löwenhielm,59.0,15.0,196.0,569,2429,"[""Best purchase! Transformed my bedroom."", ""Assembly was tricky, but worth it. Good quality."", ""Amazing! Will buy again.""]",0.6677,positive
68,19185433,SNIGLAR,Beds,236.91,No old price,True,https://www.ikea.com/sa/en/p/sniglar-bed-frame-with-slatted-bed-base-beech-s19185433/,No,"        Bed frame with slatted bed base,          70x160 cm",IKEA of Sweden,,,77.0,610,3709,"[""Assembly was tricky, but worth it. Good quality."", ""Best purchase! Transformed my bathroom."", ""Great value. Easy to assemble. Looks perfect in my bathroom.""]",0.7664333333333334,positive
69,39122072,LAUVIK,Beds,178.89,"SR 2,435",True,https://www.ikea.com/sa/en/p/lauvik-divan-bed-hamarvik-firm-firm-dark-beige-s39122072/,Yes,"        Divan bed,          140x200 cm",IKEA of Sweden/Synnöve Mork/Ola Wihlborg,,120.0,140.0,497,576,"[""Fell apart after a week. Poor quality."", ""Best purchase! Transformed my living room."", ""Love this item! Super sturdy and stylish.""]",0.3494,positive
